,country,year,PEC(TWh),iso_alpha
0,Afghanistan,1980,7.773,AFG
5,Afghanistan,1985,11.043,AFG
10,Afghanistan,1990,31.627,AFG
15,Afghanistan,1995,7.246,AFG
20,Afghanistan,2000,5.777,AFG
25,Afghanistan,2005,6.009,AFG
30,Afghanistan,2010,33.194,AFG
35,Afghanistan,2015,32.917,AFG
37,Albania,1980,52.569,ALB
42,Albania,1985,57.267,ALB
47,Albania,1990,40.289,ALB
52,Albania,1995,21.98,ALB
57,Albania,2000,27.313,ALB
62,Albania,2005,34.45,ALB
67,Albania,2010,38.863,ALB
72,Albania,2015,33.685,ALB
74,Algeria,1980,177.097,DZA
79,Algeria,1985,262.181,DZA
84,Algeria,1990,314.95,DZA
89,Algeria,1995,313.11,DZA
94,Algeria,2000,299.936,DZA
99,Algeria,2005,366.175,DZA
104,Algeria,2010,437.402,DZA
109,Algeria,2015,617.482,DZA
111,American Samoa,1980,1.76,ASM
116,American Samoa,1985,2.053,ASM
121,American Samoa,1990,2.408,ASM
126,American Samoa,1995,2.285,ASM
131,American Samoa,2000,2.299,ASM
136,American Samoa,2005,2.483,ASM
141,American Samoa,2010,2.525,ASM
146,American Samoa,2015,1.441,ASM
148,Angola,1980,16.953,AGO
153,Angola,1985,21.253,AGO
158,Angola,1990,23.212,AGO
163,Angola,1995,25.369,AGO
168,Angola,2000,32.352,AGO
173,Angola,2005,39.096,AGO
178,Angola,2010,81.982,AGO
183,Angola,2015,113.28,AGO
185,Antigua and Barbuda,1980,1.76,ATG
190,Antigua and Barbuda,1985,1.467,ATG
195,Antigua and Barbuda,1990,1.751,ATG
200,Antigua and Barbuda,1995,1.991,ATG
205,Antigua and Barbuda,2000,2.138,ATG
210,Antigua and Barbuda,2005,2.537,ATG
215,Antigua and Barbuda,2010,2.84,ATG
220,Antigua and Barbuda,2015,3.046,ATG
222,Argentina,1980,460.339,ARG
227,Argentina,1985,462.455,ARG
232,Argentina,1990,513.207,ARG
237,Argentina,1995,610.793,ARG
242,Argentina,2000,686.126,ARG
247,Argentina,2005,778.556,ARG
252,Argentina,2010,896.428,ARG
257,Argentina,2015,996.057,ARG
262,Armenia,1995,38.116,ARM
267,Armenia,2000,28.876,ARM
272,Armenia,2005,36.243,ARM
277,Armenia,2010,39.23,ARM
282,Armenia,2015,40.5,ARM
288,Aruba,1990,2.294,ABW
293,Aruba,1995,3.468,ABW
298,Aruba,2000,4.421,ABW
303,Aruba,2005,5.931,ABW
308,Aruba,2010,5.362,ABW
313,Aruba,2015,5.426,ABW
385,Australia,1980,840.092,AUS
390,Australia,1985,892.155,AUS
395,Australia,1990,1057.157,AUS
400,Australia,1995,1164.936,AUS
405,Australia,2000,1313.507,AUS
410,Australia,2005,1405.447,AUS
415,Australia,2010,1527.103,AUS
420,Australia,2015,1621.386,AUS
440,Austria,1980,315.657,AUT
445,Austria,1985,307.279,AUT
450,Austria,1990,329.538,AUT
455,Austria,1995,360.186,AUT
460,Austria,2000,383.695,AUT
465,Austria,2005,417.83,AUT
470,Austria,2010,411.111,AUT
475,Austria,2015,385.086,AUT
480,Azerbaijan,1985,234.501,AZE
485,Azerbaijan,1990,260.006,AZE
490,Azerbaijan,1995,160.243,AZE
495,Azerbaijan,2000,131.271,AZE
500,Azerbaijan,2005,166.163,AZE
505,Azerbaijan,2010,130.137,AZE
510,Azerbaijan,2015,170.999,AZE
515,Bahamas,1980,17.6,BHS
520,Bahamas,1985,9.68,BHS
525,Bahamas,1990,12.023,BHS
530,Bahamas,1995,12.648,BHS
535,Bahamas,2000,16.477,BHS
540,Bahamas,2005,12.966,BHS
545,Bahamas,2010,13.275,BHS
550,Bahamas,2015,11.831,BHS
552,Bahrain,1980,40.392,BHR
557,Bahrain,1985,60.047,BHR
562,Bahrain,1990,75.16,BHR
567,Bahrain,1995,83.187,BHR
572,Bahrain,2000,111.972,BHR
577,Bahrain,2005,150.127,BHR
582,Bahrain,2010,172.212,BHR
587,Bahrain,2015,204.197,BHR
598,Bangladesh,1980,36.474,BGD
603,Bangladesh,1985,48.142,BGD
608,Bangladesh,1990,73.698,BGD
613,Bangladesh,1995,107.042,BGD
618,Bangladesh,2000,135.987,BGD
623,Bangladesh,2005,189.628,BGD
628,Bangladesh,2010,250.409,BGD
633,Bangladesh,2015,368.035,BGD
638,Barbados,1980,4.229,BRB
643,Barbados,1985,5.109,BRB
648,Barbados,1990,5.506,BRB
653,Barbados,1995,5.642,BRB
658,Barbados,2000,6.972,BRB
663,Barbados,2005,7.206,BRB
668,Barbados,2010,7.38,BRB
673,Barbados,2015,6.842,BRB
675,Belarus,1985,408.04,BLR
680,Belarus,1990,444.569,BLR
685,Belarus,1995,251.945,BLR
690,Belarus,2000,255.399,BLR
695,Belarus,2005,286.451,BLR
700,Belarus,2010,302.611,BLR
705,Belarus,2015,269.0,BLR
725,Belgium,1980,565.183,BEL
730,Belgium,1985,542.228,BEL
735,Belgium,1990,627.306,BEL
740,Belgium,1995,677.57,BEL
745,Belgium,2000,752.165,BEL
750,Belgium,2005,764.782,BEL
755,Belgium,2010,780.145,BEL
760,Belgium,2015,677.511,BEL
765,Belize,1980,0.991,BLZ
770,Belize,1985,0.991,BLZ
775,Belize,1990,1.424,BLZ
780,Belize,1995,1.587,BLZ
785,Belize,2000,2.463,BLZ
790,Belize,2005,2.415,BLZ
795,Belize,2010,2.998,BLZ
800,Belize,2015,3.13,BLZ
802,Benin,1980,1.76,BEN
807,Benin,1985,2.053,BEN
812,Benin,1990,2.37,BEN
817,Benin,1995,3.871,BEN
822,Benin,2000,6.5,BEN
827,Benin,2005,9.701,BEN
832,Benin,2010,20.624,BEN
837,Benin,2015,21.99,BEN
839,Bermuda,1980,2.347,BMU
844,Bermuda,1985,2.053,BMU
849,Bermuda,1990,2.731,BMU
854,Bermuda,1995,2.147,BMU
859,Bermuda,2000,2.415,BMU
