,country,year,population,iso_alpha
0,Afghanistan,1980,13356500,AFG
1,Afghanistan,1985,11938204,AFG
2,Afghanistan,1990,12412311,AFG
3,Afghanistan,1995,18110662,AFG
4,Afghanistan,2000,20779957,AFG
5,Afghanistan,2005,25654274,AFG
6,Afghanistan,2010,29185511,AFG
7,Afghanistan,2015,34413603,AFG
8,Albania,1980,2682697,ALB
9,Albania,1985,2969671,ALB
10,Albania,1990,3286070,ALB
11,Albania,1995,3112923,ALB
12,Albania,2000,3129246,ALB
13,Albania,2005,3086810,ALB
14,Albania,2010,2948029,ALB
15,Albania,2015,2890524,ALB
16,Algeria,1980,19221659,DZA
17,Algeria,1985,22431507,DZA
18,Algeria,1990,25758872,DZA
19,Algeria,1995,28757788,DZA
20,Algeria,2000,31042238,DZA
21,Algeria,2005,33149720,DZA
22,Algeria,2010,35977451,DZA
23,Algeria,2015,39728020,DZA
24,American Samoa,1980,32648,ASM
25,American Samoa,1985,39521,ASM
26,American Samoa,1990,47351,ASM
27,American Samoa,1995,53158,ASM
28,American Samoa,2000,57816,ASM
29,American Samoa,2005,59557,ASM
30,American Samoa,2010,56084,ASM
31,American Samoa,2015,55806,ASM
32,Andorra,1980,36063,AND
33,Andorra,1985,44593,AND
34,Andorra,1990,54508,AND
35,Andorra,1995,63860,AND
36,Andorra,2000,65390,AND
37,Andorra,2005,78871,AND
38,Andorra,2010,84454,AND
39,Andorra,2015,77993,AND
40,Angola,1980,8341290,AGO
41,Angola,1985,9961993,AGO
42,Angola,1990,11848385,AGO
43,Angola,1995,13945205,AGO
44,Angola,2000,16395476,AGO
45,Angola,2005,19433604,AGO
46,Angola,2010,23356247,AGO
47,Angola,2015,27884380,AGO
48,Anguilla,1980,7284,AIA
49,Anguilla,1985,7292,AIA
50,Anguilla,1990,8894,AIA
51,Anguilla,1995,9868,AIA
52,Anguilla,2000,11247,AIA
53,Anguilla,2005,12442,AIA
54,Anguilla,2010,13436,AIA
55,Anguilla,2015,14279,AIA
56,Antigua and Barbuda,1980,61861,ATG
57,Antigua and Barbuda,1985,61785,ATG
58,Antigua and Barbuda,1990,62533,ATG
59,Antigua and Barbuda,1995,68672,ATG
60,Antigua and Barbuda,2000,76007,ATG
61,Antigua and Barbuda,2005,81462,ATG
62,Antigua and Barbuda,2010,88030,ATG
63,Antigua and Barbuda,2015,93571,ATG
64,Argentina,1980,27896532,ARG
65,Argentina,1985,30216284,ARG
66,Argentina,1990,32618648,ARG
67,Argentina,1995,34828168,ARG
68,Argentina,2000,36870796,ARG
69,Argentina,2005,38892924,ARG
70,Argentina,2010,40895751,ARG
71,Argentina,2015,43075416,ARG
72,Armenia,1980,3099759,ARM
73,Armenia,1985,3335935,ARM
74,Armenia,1990,3538164,ARM
75,Armenia,1995,3217349,ARM
76,Armenia,2000,3069597,ARM
77,Armenia,2005,2981262,ARM
78,Armenia,2010,2877314,ARM
79,Armenia,2015,2925559,ARM
80,Aruba,1980,60097,ABW
81,Aruba,1985,63024,ABW
82,Aruba,1990,62152,ABW
83,Aruba,1995,80324,ABW
84,Aruba,2000,90866,ABW
85,Aruba,2005,100028,ABW
86,Aruba,2010,101665,ABW
87,Aruba,2015,104339,ABW
88,Australia,1980,14588400,AUS
89,Australia,1985,15663672,AUS
90,Australia,1990,16960600,AUS
91,Australia,1995,17993083,AUS
92,Australia,2000,18991434,AUS
93,Australia,2005,20178543,AUS
94,Australia,2010,22154687,AUS
95,Australia,2015,23932499,AUS
96,Austria,1980,7609750,AUT
97,Austria,1985,7614874,AUT
98,Austria,1990,7723954,AUT
99,Austria,1995,7990113,AUT
100,Austria,2000,8069276,AUT
101,Austria,2005,8253656,AUT
102,Austria,2010,8409945,AUT
103,Austria,2015,8678667,AUT
104,Azerbaijan,1980,6150735,AZE
105,Azerbaijan,1985,6666447,AZE
106,Azerbaijan,1990,7242758,AZE
107,Azerbaijan,1995,7775418,AZE
108,Azerbaijan,2000,8122743,AZE
109,Azerbaijan,2005,8538610,AZE
110,Azerbaijan,2010,9032465,AZE
111,Azerbaijan,2015,9622741,AZE
112,Bahamas,1980,210589,BHS
113,Bahamas,1985,234579,BHS
114,Bahamas,1990,256226,BHS
115,Bahamas,1995,280179,BHS
116,Bahamas,2000,298045,BHS
117,Bahamas,2005,324848,BHS
118,Bahamas,2010,354936,BHS
119,Bahamas,2015,374200,BHS
120,Bahrain,1980,359897,BHR
121,Bahrain,1985,419428,BHR
122,Bahrain,1990,495927,BHR
123,Bahrain,1995,563698,BHR
124,Bahrain,2000,664610,BHR
125,Bahrain,2005,889157,BHR
126,Bahrain,2010,1240864,BHR
127,Bahrain,2015,1371853,BHR
128,Bangladesh,1980,79639498,BGD
129,Bangladesh,1985,90764180,BGD
130,Bangladesh,1990,103171957,BGD
131,Bangladesh,1995,115169933,BGD
132,Bangladesh,2000,127657862,BGD
133,Bangladesh,2005,139035505,BGD
134,Bangladesh,2010,147575433,BGD
135,Bangladesh,2015,156256287,BGD
136,Barbados,1980,252388,BRB
137,Barbados,1985,256260,BRB
138,Barbados,1990,260933,BRB
139,Barbados,1995,265955,BRB
140,Barbados,2000,271511,BRB
141,Barbados,2005,276320,BRB
142,Barbados,2010,282131,BRB
143,Barbados,2015,285327,BRB
144,Belarus,1980,9569847,BLR
145,Belarus,1985,9901493,BLR
146,Belarus,1990,10151135,BLR
147,Belarus,1995,10077606,BLR
148,Belarus,2000,9871635,BLR
149,Belarus,2005,9562083,BLR
150,Belarus,2010,9420576,BLR
151,Belarus,2015,9439424,BLR
152,Belgium,1980,9868999,BEL
153,Belgium,1985,9916577,BEL
154,Belgium,1990,10006545,BEL
155,Belgium,1995,10186304,BEL
156,Belgium,2000,10282046,BEL
157,Belgium,2005,10546885,BEL
158,Belgium,2010,10938735,BEL
159,Belgium,2015,11287931,BEL
160,Belize,1980,144142,BLZ
161,Belize,1985,164918,BLZ
162,Belize,1990,187554,BLZ
163,Belize,1995,206962,BLZ
164,Belize,2000,247310,BLZ
165,Belize,2005,283798,BLZ
166,Belize,2010,322465,BLZ
167,Belize,2015,360926,BLZ
168,Benin,1980,3717161,BEN
169,Benin,1985,4278502,BEN
170,Benin,1990,4978489,BEN
171,Benin,1995,5905552,BEN
172,Benin,2000,6865946,BEN
173,Benin,2005,7982223,BEN
174,Benin,2010,9199254,BEN
175,Benin,2015,10575962,BEN
176,Bermuda,1980,57580,BMU
177,Bermuda,1985,59594,BMU
178,Bermuda,1990,61630,BMU
179,Bermuda,1995,63439,BMU
180,Bermuda,2000,65016,BMU
181,Bermuda,2005,66260,BMU
182,Bermuda,2010,65388,BMU
183,Bermuda,2015,63695,BMU
184,Bhutan,1980,406883,BTN
185,Bhutan,1985,464264,BTN
186,Bhutan,1990,530801,BTN
187,Bhutan,1995,534629,BTN
188,Bhutan,2000,591014,BTN
189,Bhutan,2005,648744,BTN
190,Bhutan,2010,685502,BTN
191,Bhutan,2015,727885,BTN
192,Bolivia,1980,5579932,BOL
193,Bolivia,1985,6179460,BOL
194,Bolivia,1990,6864839,BOL
195,Bolivia,1995,7622334,BOL
196,Bolivia,2000,8418270,BOL
197,Bolivia,2005,9232301,BOL
198,Bolivia,2010,10048597,BOL
199,Bolivia,2015,10869732,BOL
200,Bonaire Sint Eustatius and Saba,1980,11209,BES
201,Bonaire Sint Eustatius and Saba,1985,12024,BES
202,Bonaire Sint Eustatius and Saba,1990,13010,BES
203,Bonaire Sint Eustatius and Saba,1995,15101,BES
204,Bonaire Sint Eustatius and Saba,2000,14387,BES
205,Bonaire Sint Eustatius and Saba,2005,14399,BES
206,Bonaire Sint Eustatius and Saba,2010,20941,BES
207,Bonaire Sint Eustatius and Saba,2015,24571,BES
208,Bosnia and Herzegovina,1980,4179850,BIH
209,Bosnia and Herzegovina,1985,4392135,BIH
210,Bosnia and Herzegovina,1990,4463422,BIH
211,Bosnia and Herzegovina,1995,3829049,BIH
212,Bosnia and Herzegovina,2000,3751176,BIH
213,Bosnia and Herzegovina,2005,3765332,BIH
214,Bosnia and Herzegovina,2010,3705478,BIH
215,Bosnia and Herzegovina,2015,3429362,BIH
216,Botswana,1980,897860,BWA
217,Botswana,1985,1069585,BWA
218,Botswana,1990,1286756,BWA
219,Botswana,1995,1469173,BWA
220,Botswana,2000,1643333,BWA
221,Botswana,2005,1799077,BWA
222,Botswana,2010,1987106,BWA
223,Botswana,2015,2120716,BWA
224,Brazil,1980,120694012,BRA
225,Brazil,1985,135274083,BRA
226,Brazil,1990,149003225,BRA
227,Brazil,1995,162019889,BRA
228,Brazil,2000,174790339,BRA
229,Brazil,2005,186127108,BRA
230,Brazil,2010,195713637,BRA
231,Brazil,2015,204471759,BRA
232,British Virgin Islands,1980,11471,VGB
233,British Virgin Islands,1985,13951,VGB
234,British Virgin Islands,1990,17489,VGB
235,British Virgin Islands,1995,19307,VGB
236,British Virgin Islands,2000,20313,VGB
237,British Virgin Islands,2005,23106,VGB
238,British Virgin Islands,2010,27796,VGB
239,British Virgin Islands,2015,29148,VGB
240,Brunei,1980,193880,BRN
241,Brunei,1985,224440,BRN
242,Brunei,1990,258714,BRN
243,Brunei,1995,297112,BRN
244,Brunei,2000,333166,BRN
245,Brunei,2005,365112,BRN
246,Brunei,2010,388634,BRN
247,Brunei,2015,414914,BRN
248,Bulgaria,1980,8878787,BGR
249,Bulgaria,1985,8975353,BGR
250,Bulgaria,1990,8841466,BGR
251,Bulgaria,1995,8379305,BGR
252,Bulgaria,2000,7997951,BGR
253,Bulgaria,2005,7686964,BGR
254,Bulgaria,2010,7425011,BGR
255,Bulgaria,2015,7199739,BGR
256,Burkina Faso,1980,6822837,BFA
257,Burkina Faso,1985,7727908,BFA
258,Burkina Faso,1990,8811033,BFA
259,Burkina Faso,1995,10089880,BFA
260,Burkina Faso,2000,11607951,BFA
261,Burkina Faso,2005,13421935,BFA
262,Burkina Faso,2010,15605211,BFA
263,Burkina Faso,2015,18110616,BFA
264,Burundi,1980,4157296,BDI
265,Burundi,1985,4750832,BDI
266,Burundi,1990,5438959,BDI
267,Burundi,1995,5987044,BDI
268,Burundi,2000,6378871,BDI
269,Burundi,2005,7364857,BDI
270,Burundi,2010,8675606,BDI
271,Burundi,2015,10160034,BDI
272,Cambodia,1980,6693759,KHM
273,Cambodia,1985,7714894,KHM
274,Cambodia,1990,8975597,KHM
275,Cambodia,1995,10656145,KHM
276,Cambodia,2000,12155241,KHM
277,Cambodia,2005,13273355,KHM
278,Cambodia,2010,14312205,KHM
279,Cambodia,2015,15521435,KHM
280,Cameroon,1980,8621409,CMR
281,Cameroon,1985,10070806,CMR
282,Cameroon,1990,11780086,CMR
283,Cameroon,1995,13599984,CMR
284,Cameroon,2000,15513944,CMR
285,Cameroon,2005,17733408,CMR
286,Cameroon,2010,20341236,CMR
287,Cameroon,2015,23298376,CMR
288,Canada,1980,24416885,CAN
289,Canada,1985,25744807,CAN
290,Canada,1990,27541323,CAN
291,Canada,1995,29164153,CAN
292,Canada,2000,30588379,CAN
293,Canada,2005,32164313,CAN
294,Canada,2010,34147566,CAN
295,Canada,2015,36026668,CAN
296,Cape Verde,1980,283848,CPV
297,Cape Verde,1985,311668,CPV
298,Cape Verde,1990,337953,CPV
299,Cape Verde,1995,386288,CPV
300,Cape Verde,2000,428178,CPV
301,Cape Verde,2005,463034,CPV
302,Cape Verde,2010,492644,CPV
303,Cape Verde,2015,524740,CPV
304,Cayman Islands,1980,16207,CYM
305,Cayman Islands,1985,19460,CYM
306,Cayman Islands,1990,25307,CYM
307,Cayman Islands,1995,32161,CYM
308,Cayman Islands,2000,42305,CYM
309,Cayman Islands,2005,49261,CYM
310,Cayman Islands,2010,56672,CYM
311,Cayman Islands,2015,61721,CYM
312,Central African Republic,1980,2199359,CAF
313,Central African Republic,1985,2542170,CAF
314,Central African Republic,1990,2806740,CAF
315,Central African Republic,1995,3222662,CAF
316,Central African Republic,2000,3640421,CAF
317,Central African Republic,2005,4038380,CAF
318,Central African Republic,2010,4386765,CAF
